name,type,start_time,duration
"Test Analyzer","error",1.2039838,0.002876
"Test Analyzer","error",1.2092409,0.0007092
"Test Analyzer","enable",1.2100496,0.0000001
"Test Analyzer","disable",1.2109435,0.0000001
"Test Analyzer","enable",1.2110329,0.0000001
"Test Analyzer","disable",1.2140527,0.0000001
"Test Analyzer","error",1.2144279,0.0021034
"Test Analyzer","error",1.2175496,0.0022755
"Test Analyzer","enable",1.2219278,0.0000001
"Test Analyzer","disable",1.2239664,0.0000001
"Test Analyzer","enable",1.2242333,0.0000001
"Test Analyzer","disable",1.2246716,0.0000001
"Test Analyzer","enable",1.2275143,0.0000001
"Test Analyzer","disable",1.228263,0.0000001
"Test Analyzer","error",1.2299298,0.0024007
"Test Analyzer","error",1.2340875,0.0008065
"Test Analyzer","error",1.2349084,0.0019773
"Test Analyzer","enable",1.2390155,0.0000001
"Test Analyzer","disable",1.2395419,0.0000001
"Test Analyzer","error",1.2417825,0.0018534
"Test Analyzer","error",1.2454859,0.0018467
"Test Analyzer","error",1.249784,0.002637
"Test Analyzer","error",1.2541992,0.0000403
"Test Analyzer","error",1.2570222,0.0007753
"Test Analyzer","error",1.2607383,0.002257
"Test Analyzer","error",1.2655797,0.0021254
"Test Analyzer","enable",1.2690707,0.0000001
"Test Analyzer","disable",1.2709046,0.0000001
"Test Analyzer","enable",1.2711751,0.0000001
"Test Analyzer","disable",1.2721578,0.0000001
"Test Analyzer","enable",1.2737537,0.0000001
"Test Analyzer","disable",1.2763559,0.0000001
"Test Analyzer","error",1.2764761,0.0031464
"Test Analyzer","enable",1.2801659,0.0000001
"Test Analyzer","disable",1.2833225,0.0000001
